word, Y_counts, N_counts, Total_count
ski,6,0,6
resorts,6,0,6
fight,48,0,48
global,647,250,897
warming,627,245,872
salt,4,0,4
lake,4,4,8
city,5,0,5
ap,6,2,8
across,9,3,12
the,457,151,608
u,49,7,56
s,209,56,265
are,70,24,94
using,5,2,7
this,64,30,94
thanksgiving,3,0,3
link,296,13,309
y,1237,1,1238
d,24,9,33
c,27,5,32
snowstorm,15,4,19
how,71,14,85
makes,32,1,33
blizzards,18,2,20
worse,48,0,48
lyamgm,3,0,3
climateprogress,2,0,2
energy,40,4,44
and,217,43,260
news,45,5,50
for,158,32,190
february,4,1,5
,126,23,149
activists,3,1,4
took,2,0,2
on,173,50,223
oil,6,1,7
companies,5,0,5
calif,2,0,2
regul,1,0,1
ly,139,31,170
vxyn,1,0,1
markey,1,0,1
presses,1,0,1
coal,8,1,9
ceos,3,0,3
climate,766,88,854
change,724,76,800
denialism,1,0,1
future,17,0,17
of,369,82,451
industry,8,0,8
i,58,42,100
me,73,15,88
mrc,1,0,1
via,92,11,103
newsongreen,11,0,11
glacial,4,0,4
melt,10,0,10
from,103,13,116
could,67,2,69
unplug,2,0,2
volcanos,2,0,2
earthweek,2,0,2
a,224,76,300
diary,2,0,2
planet,10,3,13
eruptions,10,0,10
vol,2,0,2
endangered,14,0,14
places,14,0,14
to,398,84,482
save,22,0,22
them,8,2,10
newsweek,18,0,18
report,61,5,66
claims,7,1,8
is,218,100,318
blame,24,1,25
increase,13,0,13
allergies,43,0,43
lybg,1,0,1
dir,1,0,1
rds,1,0,1
tbaggers,1,0,1
don,18,11,29
t,66,34,100
think,25,9,34
serious,11,0,11
problem,4,0,4
as,43,34,77
said,6,6,12
they,21,12,33
re,26,8,34
ignorant,1,2,3
good,20,3,23
about,40,17,57
very,5,3,8
bad,9,3,12
pr,5,1,6
fg,1,0,1
ev,1,0,1
talking,3,0,3
arthuryanb,1,0,1
crappy,1,0,1
world,42,3,45
we,62,21,83
live,9,2,11
in,232,57,289
hahaha,1,1,2
it,115,52,167
just,37,9,46
because,13,5,18
though,2,0,2
rt,200,63,263
tednews,3,0,3
larry,6,0,6
brilliant,7,0,7
at,54,10,64
tedxvolcano,7,0,7
exacerbating,1,0,1
all,45,24,69
other,11,1,12
crises,1,0,1
our,40,6,46
age,3,1,4
but,18,12,30
science,31,28,59
now,28,9,37
under,5,0,5
attack,2,0,2
climatewise,2,0,2
here,8,0,8
tonight,4,1,5
discuss,4,1,5
what,28,6,34
doing,4,1,5
women,5,1,6
children,3,0,3
families,4,1,5
communities,6,0,6
nwf,8,0,8
new,53,11,64
york,6,1,7
waterfront,1,0,1
plan,6,0,6
will,50,12,62
take,28,2,30
into,10,2,12
consideration,1,0,1
asqdr,1,0,1
kills,12,0,12
forests,20,0,20
colorado,11,0,11
third,1,4,5
international,9,3,12
water,24,0,24
fair,1,0,1
people,22,6,28
conference,13,1,14
rights,7,0,7
lybebgde,1,0,1
by,84,24,108
indigenousissue,3,0,3
got,3,2,5
jonah,4,0,4
goldberg,4,0,4
time,38,15,53
magazine,5,1,6
than,53,4,57
ever,15,2,17
xv,1,0,1
volcanic,15,1,16
activity,3,0,3
ice,23,5,28
cap,4,1,5
thaw,7,1,8
may,35,1,36
awaken,1,0,1
icelandic,8,0,8
volcanoes,22,1,23
nlf,1,0,1
aqb,1,0,1
greenforyou,3,0,3
treating,3,0,3
curable,3,0,3
disease,5,0,5
wired,6,0,6
com,45,15,60
green,49,3,52
lybpm,1,0,1
kx,1,0,1
esg,1,0,1
sustainability,5,0,5
dc,16,17,33
ft,4,3,7
work,6,0,6
greenpeace,10,0,10
stop,33,5,38
hr,4,0,4
get,20,6,26
involved,5,0,5
call,9,2,11
m,18,5,23
ej,1,0,1
really,9,4,13
season,9,0,9
you,33,25,58
should,11,8,19
lyc,18,1,19
z,9,0,9
n,14,298,312
continues,2,0,2
glacier,13,2,15
national,19,0,19
park,6,0,6
icons,2,0,2
p,39,16,55
porous,1,0,1
materials,1,0,1
reduce,22,0,22
warmingà,1,0,1
eyjafjoell,1,0,1
volcano,17,1,18
triggers,2,0,2
more,51,19,70
vcnaa,1,0,1
ru,1,0,1
cool,6,0,6
care,2,7,9
vid,2,0,2
indigenous,9,0,9
peoples,5,0,5
gd,9,2,11
hoam,1,0,1
dakotarene,1,0,1
redman,1,0,1
robby,1,0,1
romero,1,0,1
ocean,22,0,22
acidification,3,0,3
hidden,1,0,1
risk,3,0,3
lydrr,1,0,1
xm,1,0,1
peterdaou,1,0,1
who,10,13,23
political,2,4,6
elites,1,0,1
editors,1,0,1
times,8,1,9
shilling,1,0,1
bush,1,0,1
iraqi,1,0,1
wmd,1,0,1
members,2,0,2
congress,4,0,4
denying,2,0,2
cutting,1,0,1
down,6,2,8
trees,10,0,10
plant,8,0,8
lychyuwu,1,0,1
nyt,2,0,2
comprehensive,4,0,4
article,7,1,8
economics,4,0,4
paul,1,0,1
krugman,3,0,3
mscuy,1,0,1
graphs,1,0,1
one,27,7,34
place,4,0,4
alternative,3,0,3
lydefx,1,0,1
important,20,0,20
video,12,3,15
watch,5,1,6
laurie,1,0,1
davids,1,0,1
guide,4,0,4
xa,2,0,2
tb,2,0,2
globalwarning,1,0,1
eco,13,0,13
climatechange,18,1,19
conservation,3,0,3
give,10,2,12
gift,7,0,7
that,83,34,117
helps,4,0,4
prevent,5,0,5
provides,3,0,3
habitat,26,0,26
specie,3,0,3
lydcusyt,2,0,2
or,19,9,28
going,10,7,17
keep,5,6,11
snowing,1,4,5
until,4,3,7
jimdemint,1,2,3
admits,1,0,1
real,26,7,33
imgoph,1,0,1
updates,3,0,3
study,19,4,23
law,5,1,6
cites,1,1,2
local,5,0,5
refineries,1,0,1
negative,1,0,1
health,20,2,22
effects,31,1,32
yvwhz,1,0,1
meat,9,0,9
wise,4,0,4
cynthia,2,0,2
bateman,2,0,2
monday,2,1,3
animal,3,0,3
agriculture,6,0,6
zs,2,1,3
action,32,0,32
help,43,3,46
protect,24,0,24
wildlife,30,0,30
growing,5,0,5
faster,20,0,20
ecologists,2,0,2
discover,1,0,1
appears,3,0,3
be,53,19,72
driving,3,1,4
accelerated,6,0,6
growth,4,1,5
lyafk,1,0,1
yz,1,0,1
michaellemonick,1,0,1
why,27,12,39
makers,1,0,1
anti,2,2,4
allergy,12,0,12
meds,1,0,1
comy,7,1,8
zhsve,1,0,1
audi,1,0,1
police,1,0,1
play,5,1,6
right,11,3,14
crazy,1,0,1
fears,1,0,1
wing,1,1,2
deniers,17,0,17
sigsforyou,1,0,1
hrhsar,1,0,1
tsunami,4,2,6
cause,9,1,10
east,4,3,7
coast,10,2,12
gds,1,0,1
rd,1,0,1
core,5,0,5
impacts,36,1,37
experts,10,1,11
yahoo,5,0,5
lvbf,1,0,1
climatenews,2,0,2
environmental,26,0,26
monitoring,4,0,4
instruments,1,0,1
with,67,15,82
increased,8,0,8
focus,2,0,2
rsq,1,0,1
uruguay,6,0,6
tools,7,0,7
needed,8,0,8
those,14,5,19
most,28,3,31
vulnerable,15,0,15
baby,5,0,5
boomers,4,0,4
must,20,2,22
tackle,17,0,17
while,7,0,7
can,51,14,65
anonymous,2,0,2
have,44,13,57
enjoyed,2,0,2
peace,3,1,4
large,5,0,5
see,14,8,22
before,15,2,17
disappearà,6,0,6
americas,6,0,6
photos,7,0,7
carbon,34,0,34
offsets,8,0,8
vatican,5,0,5
forest,7,0,7
failed,5,0,5
danlatorre,1,0,1
james,5,0,5
hansenheather,1,0,1
rogers,3,0,3
gone,2,2,4
wrong,3,2,5
false,2,1,3
hope,4,2,6
solutions,12,0,12
pm,2,0,2
bolivia,9,1,10
talks,3,1,4
poor,5,0,5
voice,2,1,3
humanitarian,8,0,8
mslg,1,0,1
humanitynews,3,0,3
next,4,3,7
chapter,1,0,1
lyav,1,0,1
ldf,1,0,1
globalwarming,6,0,6
your,22,8,30
getting,13,1,14
well,9,4,13
awful,1,0,1
legislation,11,0,11
near,4,1,5
need,12,1,13
swamp,1,0,1
sens,1,0,1
lycevlmr,1,0,1
talk,2,2,4
needs,6,3,9
happen,2,1,3
drudge,4,1,5
mag,1,1,2
tw,1,0,1
oxilz,1,0,1
reference,1,0,1
frame,1,0,1
causes,17,2,19
bvajw,1,0,1
mediaglobal,2,0,2
special,2,1,3
tipping,2,0,2
point,10,0,10
earth,49,3,52
day,28,5,33
event,8,0,8
art,4,0,4
mobilize,3,0,3
esm,1,0,1
x,13,1,14
threatens,11,0,11
too,10,1,11
lycbsub,1,0,1
pachauri,3,0,3
insists,2,0,2
behind,2,2,4
remains,2,2,4
totally,3,1,4
valid,2,0,2
delhi,4,0,4
feb,10,1,11
un,9,5,14
inter,3,0,3
governmental,2,0,2
comx,13,4,17
rhz,1,0,1
mary,1,0,1
ellen,1,0,1
harte,2,0,2
john,1,1,2
addressing,6,0,6
winning,2,0,2
war,3,2,5
its,19,2,21
heart,4,0,4
clim,2,0,2
ignatieff,2,0,2
wednesday,4,2,6
make,14,5,19
sure,4,1,5
liberal,2,4,6
mps,2,0,2
vote,4,0,4
pass,2,0,2
ndp,3,0,3
bill,24,2,26
since,4,2,6
man,7,14,21
mother,11,1,12
nature,3,3,6
end,12,2,14
earthquakes,10,0,10
hekla,5,0,5
chaotic,1,0,1
food,7,0,7
security,9,1,10
vietnamnet,1,0,1
bridge,1,0,1
worsening,2,0,2
including,3,0,3
intense,2,0,2
comxc,5,0,5
vr,1,0,1
us,44,6,50
olympics,2,0,2
organisers,1,0,1
desperate,1,0,1
luk,1,0,1
single,4,0,4
thing,21,3,24
face,5,0,5
socmedia,2,0,2
enviro,4,0,4
beardlace,1,0,1
ps,1,0,1
annoys,1,0,1
when,6,7,13
survivalist,1,0,1
types,2,0,2
believe,12,12,24
know,12,8,20
great,10,9,19
excuse,1,1,2
stuff,1,1,2
dougbenson,4,0,4
dear,6,3,9
stupid,9,4,13
these,7,6,13
winter,22,8,30
storms,14,4,18
means,10,0,10
there,20,19,39
no,27,17,44
such,9,2,11
yo,9,5,14
love,9,3,12
shut,4,0,4
up,24,8,32
frederic,1,0,1
hague,1,0,1
pen,1,1,2
isn,10,2,12
alarm,1,0,1
bell,1,0,1
whole,1,0,1
blinking,1,0,1
discotech,1,0,1
kuna,3,0,3
indians,3,0,3
prepare,4,0,4
relocation,3,0,3
traditional,3,0,3
homes,4,0,4
sink,4,1,5
due,20,5,25
whales,6,0,6
ll,6,2,8
lycn,1,1,2
j,6,2,8
tcot,12,31,43
mikerwithcrc,1,0,1
activist,1,1,2
proponent,1,0,1
ian,1,0,1
katz,1,0,1
complains,1,0,1
debate,6,2,8
has,45,13,58
fallen,1,0,1
apart,5,0,5
lybcezbs,1,0,1
tip,2,0,2
tree,4,1,5
birthday,1,0,1
plants,18,0,18
absorb,1,0,1
co,6,4,10
which,8,1,9
rejoice,2,0,2
ny,2,0,2
mentions,2,0,2
crop,4,0,4
wild,4,0,4
relatives,2,0,2
adapting,2,0,2
check,10,1,11
out,14,10,24
organizations,1,0,1
theclimategroup,1,0,1
org,10,2,12
climategroup,1,0,1
guest,1,0,1
column,1,1,2
elliott,1,0,1
